index,weight,normalized_weight
N-CHI_TETRAHEDRAL_CW,148.44364314918823,1.0
Co-CHI_UNSPECIFIED,79.10458987034168,0.6150792879784878
B-CHI_UNSPECIFIED,50.7037657377656,0.4574182740164755
N-CHI_TETRAHEDRAL_CCW,45.75707503927713,0.4299577937276098
I-CHI_UNSPECIFIED,25.149252232492728,0.3155579360298041
N-CHI_UNSPECIFIED,24.36407180281405,0.3111991772096937
Br-CHI_UNSPECIFIED,18.604279860244166,0.2792249417566387
O-CHI_UNSPECIFIED,11.854599177473046,0.2417555537065611
S-CHI_UNSPECIFIED,9.30424089637447,0.2275977929779486
Cl-CHI_UNSPECIFIED,8.62307320364671,0.22381643830273543
C-CHI_TETRAHEDRAL_CCW,5.392437800781384,0.20588226671040138
C-CHI_UNSPECIFIED,3.8320287337277246,0.19721999428623554
H-CHI_UNSPECIFIED,0.6704807666809304,0.1796693466061774
C-CHI_TETRAHEDRAL_CW,0.6424976020710499,0.17951400413844953
F-CHI_UNSPECIFIED,-1.6890488923899145,0.166570929574826
P-CHI_UNSPECIFIED,-21.899171497718424,0.05437881826922843
Si-CHI_UNSPECIFIED,-31.694892173305284,0.0
