index,weight,normalized_weight
I-SINGLE-STEREONONE-N,130.88386076749111,1.0
Cl-SINGLE-STEREONONE-I,112.95749439911918,0.9467372636003784
Br-SINGLE-STEREONONE-N,67.90489095623502,0.812877177736644
O-DOUBLE-STEREONONE-P,62.62265560795359,0.7971826246311879
N-DOUBLE-STEREONONE-P,61.24660953050166,0.7930941229242068
C-DOUBLE-STEREONONE-P,44.371057051424636,0.7429535598663799
N-DOUBLE-STEREONONE-S,39.39011963139711,0.7281542217643754
B-SINGLE-STEREONONE-C,36.72699081017416,0.7202415457937841
C-DOUBLE-STEREONONE-S,34.27382578166076,0.712952713267801
B-SINGLE-STEREONONE-O,30.959199504629513,0.7031043110858473
Co-SINGLE-STEREONONE-O,29.894745373662673,0.6999416099214214
I-SINGLE-STEREONONE-O,27.89417062495205,0.6939975115303323
N-SINGLE-STEREONONE-N,27.529588758873587,0.6929142675850741
C-DOUBLE-STEREONONE-O,27.00636315125616,0.6913596620926176
H-SINGLE-STEREONONE-N,24.058167108455386,0.6825999957187808
C-SINGLE-STEREONONE-I,22.3536367295151,0.6775355029826052
C-TRIPLE-STEREONONE-N,21.3100113803184,0.674434688197725
O-DOUBLE-STEREONONE-S,20.150931416604067,0.6709908351990312
C-DOUBLE-STEREOE-C,19.461262929545853,0.668941695397107
N-SINGLE-STEREONONE-S,19.264986602909737,0.6683585200880522
Si-SINGLE-STEREONONE-Si,19.045844795049092,0.6677074069675031
Cl-SINGLE-STEREONONE-N,17.526829370614966,0.6631941154015479
Br-SINGLE-STEREONONE-C,16.041457375028745,0.6587807850349504
C-AROMATIC-STEREONONE-N,15.531569290946518,0.6572658079304048
S-AROMATIC-STEREONONE-S,15.01110113900308,0.6557193953774252
P-DOUBLE-STEREONONE-S,14.84381161663759,0.6552223455264363
N-SINGLE-STEREONONE-O,11.868839030780912,0.6463831208123775
N-AROMATIC-STEREONONE-S,11.640225201081531,0.6457038644645842
B-SINGLE-STEREONONE-B,11.146553661511987,0.6442370698816908
N-AROMATIC-STEREONONE-O,10.908830892311864,0.6435307490952077
