index,weight,normalized_weight
I-SINGLE-STEREONONE-I,168.34305992943095,1.0
O-DOUBLE-STEREONONE-P,150.7317760105827,0.9266513304611385
B-SINGLE-STEREONONE-C,98.28953138115394,0.7082363137636124
Cl-SINGLE-STEREONONE-N,58.076638321864834,0.5407549297941764
P-DOUBLE-STEREONONE-S,56.65124249230653,0.5348183445828933
N-SINGLE-STEREONONE-N,55.11579735657374,0.5284234185584832
C-DOUBLE-STEREOE-N,48.43771132180605,0.5006100729799687
Si-SINGLE-STEREONONE-Si,46.76062033478626,0.49362521070869125
C-SINGLE-STEREONONE-I,42.625172350337884,0.4764016165060096
C-DOUBLE-STEREONONE-O,42.456737346378425,0.47570010697943976
C-TRIPLE-STEREONONE-N,41.98188265664044,0.47372239996630744
C-DOUBLE-STEREONONE-S,39.51281870190486,0.4634390749730404
O-DOUBLE-STEREONONE-S,31.282128759692917,0.4291593393541045
N-SINGLE-STEREONONE-O,29.496826722653626,0.42172379236359203
N-AROMATIC-STEREONONE-N,28.923638230471603,0.4193365380617327
C-DOUBLE-STEREOZ-N,27.675638830438526,0.41413878552991673
Br-SINGLE-STEREONONE-C,23.54874606444932,0.39695082268122867
C-AROMATIC-STEREONONE-N,22.298000661550397,0.39174163341046236
C-DOUBLE-STEREONONE-N,16.66580100847395,0.3682842663590877
C-SINGLE-STEREONONE-Cl,16.206386002139034,0.3663708635864035
N-SINGLE-STEREONONE-Si,15.508309225404659,0.3634634660879937
C-AROMATIC-STEREONONE-S,15.3617112142749,0.3628529047499925
N-SINGLE-STEREONONE-S,14.095794422490224,0.35758052864997775
C-AROMATIC-STEREONONE-O,12.910406693176936,0.3526435454502595
N-DOUBLE-STEREOE-N,12.821779676303542,0.352274425640323
N-AROMATIC-STEREONONE-O,10.779009993073208,0.34376655993730587
C-SINGLE-STEREONONE-O,9.763994319208015,0.3395391538275546
C-SINGLE-STEREONONE-N,9.358376393968667,0.3378498087863576
C-AROMATIC-STEREONONE-C,9.188125974504196,0.3371407382941837
C-TRIPLE-STEREONONE-C,7.871902127534188,0.3316588399592617
N-DOUBLE-STEREONONE-O,6.723726966934753,0.3268768421892181
C-SINGLE-STEREONONE-Si,3.347073265774135,0.31281352587367484
C-DOUBLE-STEREOE-C,2.8557339940870943,0.31076716275577243
C-SINGLE-STEREONONE-S,2.759595970590482,0.3103667605961079
C-SINGLE-STEREONONE-C,2.593546503058475,0.3096751865134214
B-SINGLE-STEREONONE-O,1.8061892355200904,0.306395947572535
C-SINGLE-STEREONONE-F,0.7031634215728904,0.30180199086314036
C-DOUBLE-STEREONONE-C,-2.393760073050551,0.2889037138811219
N-SINGLE-STEREONONE-P,-5.40453700827017,0.27636422593156346
O-SINGLE-STEREONONE-Si,-7.966399624123412,0.2656944067815198
S-SINGLE-STEREONONE-S,-8.012803826378093,0.2655011394131623
C-SINGLE-STEREONONE-P,-10.606884702508495,0.25469713546790007
C-DOUBLE-STEREOZ-C,-12.63711110483673,0.2462415108717812
O-SINGLE-STEREONONE-S,-16.689444239873716,0.22936407903019373
N-DOUBLE-STEREONONE-N,-23.145198871764553,0.2024767143553357
Cl-SINGLE-STEREONONE-P,-25.140915689321588,0.19416481761806972
O-SINGLE-STEREONONE-O,-25.18746883029998,0.1939709299396157
Cl-SINGLE-STEREONONE-Si,-26.932157325087022,0.1867045329840008
O-SINGLE-STEREONONE-P,-34.10049255744409,0.15684936430210705
P-SINGLE-STEREONONE-S,-35.31593704864116,0.15178719866225665
Cl-SINGLE-STEREONONE-S,-35.96699147693213,0.14907564302936954
N-TRIPLE-STEREONONE-N,-65.4537667932224,0.02626712160598199
N-DOUBLE-STEREOZ-N,-68.6280312752099,0.013046729635066907
F-SINGLE-STEREONONE-S,-71.76059879497764,0.0
