index,weight,normalized_weight
I-SINGLE-STEREONONE-S,214.1796635095485,1.0
Si-SINGLE-STEREONONE-Si,183.6049538573355,0.9270464839102105
I-SINGLE-STEREONONE-N,130.3419301662969,0.7999569743110972
I-SINGLE-STEREONONE-I,113.58115680313558,0.7599645307806252
O-DOUBLE-STEREONONE-P,72.60881534024324,0.6622014970134961
C-DOUBLE-STEREONONE-P,61.41941784407441,0.6355027679149281
Br-SINGLE-STEREONONE-N,57.77535031108662,0.6268077535575028
N-DOUBLE-STEREONONE-P,53.883162549711614,0.6175207060040225
N-DOUBLE-STEREONONE-S,45.61558405241449,0.597793652900756
B-SINGLE-STEREONONE-O,32.61912436151684,0.5667831398998066
B-SINGLE-STEREONONE-C,31.273836091298527,0.5635731826971657
I-SINGLE-STEREONONE-O,31.27028920078377,0.5635647195543532
C-DOUBLE-STEREONONE-S,29.637272712159437,0.5596682215652341
N-SINGLE-STEREONONE-N,27.840338285067222,0.5553806032646731
C-DOUBLE-STEREONONE-O,27.530119048973933,0.5546403972483568
P-SINGLE-STEREONONE-Si,27.07881646030579,0.5535635559295584
P-DOUBLE-STEREONONE-S,25.616698630720563,0.5500748347668999
C-SINGLE-STEREONONE-I,23.26368432304042,0.5444603687880734
Cl-SINGLE-STEREONONE-N,22.204069368160006,0.5419320492213738
O-DOUBLE-STEREONONE-S,22.093694520764537,0.5416686866809942
C-DOUBLE-STEREOE-C,20.724531040941688,0.5384017614643364
C-TRIPLE-STEREONONE-N,20.09481000165787,0.5368992005408135
Br-SINGLE-STEREONONE-C,16.117035590603823,0.5274079369180572
N-DOUBLE-STEREOZ-N,16.078321226804654,0.5273155615858152
N-AROMATIC-STEREONONE-O,15.384726721933708,0.5256605938544296
C-AROMATIC-STEREONONE-N,15.188044540659934,0.5251912956390306
C-DOUBLE-STEREOE-N,14.449390079223663,0.5234288115222505
N-SINGLE-STEREONONE-S,13.556657753162659,0.521298686237203
N-AROMATIC-STEREONONE-S,12.09371349843753,0.5178079931631043
B-SINGLE-STEREONONE-B,11.385071514567464,0.5161171210351192
N-DOUBLE-STEREONONE-O,11.301521039427834,0.5159177634287267
C-AROMATIC-STEREONONE-O,11.083154229641352,0.5153967240876359
N-SINGLE-STEREONONE-O,11.03675926741772,0.5152860222801104
C-DOUBLE-STEREONONE-N,9.978956472508845,0.5127620266609854
N-AROMATIC-STEREONONE-N,9.399384623377918,0.5113791254101896
P-SINGLE-STEREONONE-S,8.995532854207612,0.5104155052523798
C-DOUBLE-STEREONONE-C,8.682377902901443,0.5096682944026747
C-DOUBLE-STEREOZ-C,8.393183313565025,0.5089782547468212
C-TRIPLE-STEREONONE-C,8.057905763179695,0.5081782577412958
C-AROMATIC-STEREONONE-S,7.365757217651931,0.5065267401757305
C-SINGLE-STEREONONE-Cl,7.270661346835622,0.5062998344022798
O-SINGLE-STEREONONE-S,6.973922723460608,0.5055917941238569
N-SINGLE-STEREONONE-Si,6.846268151085532,0.5052872008830499
N-DOUBLE-STEREOE-N,6.530956679361433,0.504534844416304
C-SINGLE-STEREONONE-N,6.394919889674828,0.5042102505857136
C-AROMATIC-STEREONONE-C,6.210548092527404,0.5037703258563311
H-SINGLE-STEREONONE-O,4.460122512988626,0.4995936811021062
N-DOUBLE-STEREONONE-N,4.443479474710623,0.4995539695831872
S-SINGLE-STEREONONE-S,3.987229538975213,0.49846532352877637
C-SINGLE-STEREONONE-O,3.263702424661564,0.4967389343798394
C-SINGLE-STEREONONE-C,1.9630495865140887,0.4936354806157852
C-DOUBLE-STEREOZ-N,1.8175146992552849,0.49328822362266805
O-SINGLE-STEREONONE-Si,1.3862981138597745,0.4922593089916321
C-SINGLE-STEREONONE-S,1.1338310978622452,0.4916569040391984
C-SINGLE-STEREONONE-P,-0.1947816428111464,0.48848673588203984
C-SINGLE-STEREONONE-F,-1.0988863951067813,0.48632947514780156
Cl-SINGLE-STEREONONE-P,-2.207035622444633,0.4836853492213063
C-SINGLE-STEREONONE-H,-2.9301813757886745,0.48195987002781776
C-SINGLE-STEREONONE-Si,-6.35058806419793,0.4737985269696204
B-SINGLE-STEREONONE-N,-8.735269416950201,0.46810850108169044
Br-SINGLE-STEREONONE-P,-13.80628106562143,0.4560086926416103
N-SINGLE-STEREONONE-P,-14.311953187111763,0.454802121600677
O-SINGLE-STEREONONE-O,-14.39033016938143,0.45461510833049
S-AROMATIC-STEREONONE-S,-15.657467528170457,0.4515916249763088
O-SINGLE-STEREONONE-P,-22.85356667201849,0.43442120077126845
Br-SINGLE-STEREONONE-Si,-24.867079004270902,0.4296168115882192
N-TRIPLE-STEREONONE-N,-29.291443840225437,0.4190599502175488
Cl-SINGLE-STEREONONE-Si,-30.08333809216208,0.4171704320272791
F-SINGLE-STEREONONE-Si,-31.399088957087987,0.4140309532558894
F-SINGLE-STEREONONE-S,-32.31832666961177,0.4118375841605237
B-SINGLE-STEREONONE-Br,-32.922304497005044,0.4103964484424802
Cl-SINGLE-STEREONONE-S,-37.26187179024946,0.4000419202735589
B-SINGLE-STEREONONE-F,-52.327983921663474,0.3640930636436111
B-SINGLE-STEREONONE-Cl,-54.78091004782869,0.3582402006843939
F-SINGLE-STEREONONE-P,-60.971709437553734,0.3434684959642388
Br-SINGLE-STEREONONE-S,-68.84336769921563,0.32468613779378563
C-TRIPLE-STEREONONE-O,-204.9188431968635,0.0
