index,weight,normalized_weight
N-CHI_TETRAHEDRAL_CCW,87.79956178483272,1.0
B-CHI_UNSPECIFIED,50.225677048934834,0.6809820781192104
I-CHI_UNSPECIFIED,26.01017421098671,0.4753823791005998
N-CHI_UNSPECIFIED,24.71937752734774,0.46442297795058507
Br-CHI_UNSPECIFIED,19.113479537120455,0.4168265705072686
O-CHI_UNSPECIFIED,12.721650612639433,0.3625572822812017
Cl-CHI_UNSPECIFIED,8.980319590975775,0.33079182454403677
S-CHI_UNSPECIFIED,8.244083556097513,0.32454087414294025
C-CHI_UNSPECIFIED,3.740472760750511,0.28630334382127925
C-CHI_TETRAHEDRAL_CCW,2.8586304459278575,0.2788161354935097
C-CHI_TETRAHEDRAL_CW,2.3348653288271626,0.27436915162730663
F-CHI_UNSPECIFIED,-1.0374230444257648,0.2457370195925249
H-CHI_UNSPECIFIED,-2.4331532971874763,0.23388668876110066
P-CHI_UNSPECIFIED,-24.058982407970035,0.050274397661489036
Si-CHI_UNSPECIFIED,-29.980293699081024,0.0
