name,smiles,molecular_weight,melting_point_K,boiling_point_K,heat_of_fusion,heat_of_vaporization,critical_temperature,critical_pressure,flash_point,logP
ammonia,N,17.03052,195.45,239.8343186,332344.5203082466,1369668.5526914473,405.56,11363400,,
"1,4-benzodioxane-2-carboxylic acid",O=C(O)C1COc2ccccc2O1,180.15742,389.65,647.6,193464.13819647284,,891.16869,4216562.7,,
acetylene,C#C,26.03728,192.4,189.00035,144561.95117155096,634968.537,308.3,5988200,,0.37
adenosine triphosphate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,507.181023,449.15,,,,,,,
rhodizonic acid,O=c1c(O)c(O)c(=O)c(=O)c1=O,170.07648,521.15,792.78,75777.67367,,1083.9702,8541722.9,,
glucuronolactone,O=C[C@H](O)[C@H]1OC(=O)[C@@H](O)[C@H]1O,176.12412,450.65,717.26,153142.00008494008,,894.20891,5351345.2,,
"pyridine, 2,4-diethyl-",CCc1ccnc(CC)c1,135.20622,301.67,460.65,132064.93014892362,292326.6080287907,673,3000000,,
n-[(phenylmethoxy)carbonyl]-l-alanyl-l-alanine,C[C@H](N=C(O)[C@H](C)N=C(O)OCc1ccccc1)C(=O)O,294.30312,411.15,1051.13,,,1288.1861,2145333,,
amoxicillin,CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,365.40416,413.15,1191.79,,,1463.529,2884301.4,,0.87
"butane, 2-methyl-3-nitro-",CC(C)C(C)[N+](=O)[O-],117.14634,259.72,424.15,111151.57332273464,326273.4581611975,614,3200000,,
amygdalin,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,457.42848,497.65,1531.26,172197.4110575712,,2253.3905,2298113.1,,
boron nitride,B#N,24.8177,3240.15,,3263799.6268792027,,,,,
salicylaldehyde,O=Cc1ccccc1O,122.12134,266.15,481.15,,369497.6910478144,680,4990000,349.15,1.81
carbon dioxide,O=C=O,44.0095,216.65,194.67,204955.7481907316,382838.7222460998,304.1282,7377300,,0.83
methylamine,CN,31.0571,179.95,266.75,197378.37724707072,840051.8351464672,430.8,7620000,263.15,-0.57
6-amino-4(3h)-pyrimidinone,Nc1cc(O)ncn1,111.102,536.65,578.35,192732.8040899353,,852.67975,8849800.3,,
carbon monoxide,[C-]#[O+],28.0101,68.15,81.63818292,29739.272619519383,214682.9147976303,132.86,3494000,,
dextramycin,O=[N+]([O-])c1ccc([C@H](O)[C@H](CO)N=C(O)C(Cl)Cl)cc1,323.12938,423.65,996.72,129848.91686419849,,1228.1903,3318184.7,,
cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,386.65354,421.65,732.15,93670.42132861374,201138.64377967105,959,1250000,,
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.1906,511.15,640.4,113290.75660716844,417842.29988911096,850,4160405,,-0.07
p-methoxybenzylidene p-cyanoaniline,COc1ccc(C=Nc2ccc(C#N)cc2)cc1,236.26858,379.15,807.3,,,1063.8864,2117778.6,,
nsc94017,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,329.205941,492.65,329.27,,76478.25109235547,432.35965,1224395.2,,-2.96
hexogen,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,222.11634,478.4,507.15,196905.81971592005,172595.90474717293,895.2,4160000,,0.87
d-phi-cocaine,COC(=O)[C@@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,303.35294,448.78,752.53,138116.34724885147,,972.36671,1903578.4,,
"o,p'-ddt",Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,354.48626,348.15,766.72,82846.65250495181,,1041.6069,2293712.7,,
surecn10525671,C=CC(=O)OCCCCCC(C)C.C=Cc1ccccc1,288.42442000000005,321.38,713.54,117635.6703777024,,914.68266,1369712.2,,
ethene,C=C,28.05316,104.05,169.3786484,119416.1370768926,482421.54552812246,282.35,5041800,,1.13
17469-89-5,CN(C)[C@@H](Cc1ccccc1)C(=O)O,193.2423,418.22,635.47,144523.22291754963,,852.81622,2928168.5,,
dimethyl ether,COC,46.06844,133.4,248.3678379,107231.76213477163,465166.0427679831,400.378,5336800,232.15,0.1
erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,733.92678,464.15,1781.64,134242.27414075285,174641.95900705093,3034.2644,645490.45,,3.06
st073186,CC1(C)O[C@@H]2[C@H](O1)[C@@H]1C[C@H]2N=C1O,183.20442,483.3,591.18,176158.4136452603,321458.6026536629,835.34433,3690968.5,,
flubendazole,COC(O)=Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,313.2831832,533.15,913.31,162418.5489,,1162.7453,2796513.6,,
nitroethane,CC[N+](=O)[O-],75.0666,183.9,387.25,131216.81280356378,483315.3013166722,595,4850002,300.15,0.18
8-oxo-dg,N=c1nc(O)c2nc(O)n([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1,283.24072,963.26,1061.68,200003.0221643272,,1311.0118,5827166.2,,
ac1laxt3,Cc1nc2n[nH]nc(O)c-2n1,151.1261,712.65,688.07,219267.2212146016,,986.66858,7614313.7,,
tetroquinone,O=C1C(O)=C(O)C(=O)C(O)=C1O,172.09236,600.32,883.7,106454.46433531393,962126.5310549608,1088.8263,8175037.4,,
l-fructose,O=C(CO)[C@H](O)[C@@H](O)[C@@H](O)CO,180.15588,375.15,850.33,126368.34279291912,,1041.2579,6430830.9,,
3-hydroxyisobutyric acid,CC(CO)C(=O)O,104.10452,341.26,528.37,161606.81591923194,,715.50036,5008592.2,,
hydroxide,[OH-],17.00734,448.65,,,,,,,
diacetylmorphine,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,369.41102,446.15,894.95,144535.48245528789,,1124.332,1727463,,1.58
deuterium oxide,[2H]O[2H],20.027604,276.97,374.5487761,,2071917.346273364,643.847,21661800,,
hydrogen peroxide,OO,34.01468,252.935,423.35,367488.3903067734,1336355.5708140612,728,22000000,,
thebainone,COc1ccc2c(c1O)[C@]13CCN(C)[C@H](C2)C1C=CC(=O)C3,299.36424,424.65,855.27,108129.1472889347,,1106.6097,2540485.2,,
ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,237.72524,365.65,703.91,73282.07976569927,,964.08213,2802438.5,,
substance h 20,COc1ccccc1/C=C(/C(=O)O)c1ccccc1,254.28056,499.23,795.99,138083.69778641354,,1042.7551,2555921,,
"1,3-acetonedicarboxylic acid",O=C(O)CC(=O)CC(=O)O,146.09814,411.15,658.89,209386.64927561703,570164.7587496189,872.63957,4710650.6,,
9-methoxy-9-((4-methyl-1-piperazinyl)methyl)acridan,COC1(CN2CCN(C)CC2)c2ccccc2Nc2ccccc21,323.432,649.26,834.76,125469.9596824062,,1077.2998,2135430.7,,
lithium carbonate,O=C([O-])[O-].[Li+].[Li+],73.89089999999999,1005.15,,606299.2871923336,,,,,
cellobiose,O=C[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,342.29648,474.65,1308.74,154903.72556562664,401182.0573716905,1864.9672,4559213,,
9-cis-beta-carotene,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)CCCC2(C)C)C(C)(C)CCC1,536.87264,553.16,1209.58,126465.7480031018,145267.88396266414,1481.1051,607261.73,,
"n-(2,5-diethoxyphenyl)benzamide",CCOc1ccc(OCC)c(N=C(O)c2ccccc2)c1,285.33766,361.15,865.46,,,1089.0881,1957866.7,,
s-methadone,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,309.44518,373.65,796.08,103123.27372492924,,1024.6534,1620678.3,,
nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],227.0865,286.65,523.15,96306.91388523756,276057.4790395133,680,3000000,,1.62
nitric acid,O=[N+]([O-])O,63.01284,231.15,356.15,166632.7053343414,643534.7066311685,520,6890100,,
picolinaldoxime,O=N/C=C1\C=CC=CN1,122.12464,386.25,478.01,,389775.8046694533,702.82342,4769390.4,,
nitrogen dioxide,[O]N=O,46.0055,263.85,294.3,,720561.0407,431,10132500,,
ozone,O=[O+][O-],47.9982,80.15,161.8,157422.57001304216,288534.64106022974,261,5572875,,
boc-3-(1-naphthyl)-l-alanine,CC(C)(C)OC(O)=N[C@@H](Cc1cccc2ccccc12)C(=O)O,315.36364,607.27,912.31,132294.89613958035,,1144.8685,1973554,,
propane,CCC,44.09562,85.5,231.0362479,79372.96266613329,425590.8428442664,369.89,4251200,,2.36
4-amino-5-cyanopyrimidine,N#Cc1c[nH]cnc1=N,120.11206,523.15,632.79,,,,,,
pyrazine,c1cnccn1,80.08796,328.15,389.45,161072.9003460695,432912.9233928405,627,6700000,,-0.26
pyridine,c1ccncc1,79.09989999999999,231.15,388.35,104677.75559766828,447634.0383500065,620,5650000,291.15,0.65
phenol,Oc1ccccc1,94.11124,314.15,454.95,122302.07571380422,493889.27547795104,694.2,5930000,348.15,1.48
2-methyl-1-octylindole,CCCCCCCCn1c(C)cc2ccccc21,243.3871,391.74,643.94,149786.08151376963,,838.59806,1769871.1,,
hs 103,CCc1ccc(OC/C=C(\C)CCC=C(C)C)cn1,259.3865,375.98,442.15,144756.95535426866,266908.63965251565,918.21017,1685176.6,,
"benzoic acid, 2-(isononylideneamino)-, methyl ester",COC(=O)c1ccccc1C=CCCCCC(C)CN,275.3859,425.8,754.69,144099.60713311756,,963.81488,1718879.3,,
n-methylpyrrolidine,CN1CCCC1,85.14753999999999,183.15,479.25,78581.24850113111,234524.81221384907,550,4200000,259,0.92
phenothiazine,c1ccc2c(c1)Nc1ccccc1S2,199.27156,458.2,644.15,133240.28777613826,320848.1001328458,923,4001000,,4.15
ac1nykt4,O=C1C=CC=C/C1=C/NCCCCCCN/C=C1\C=CC=CC1=O,324.41676,333.15,951.54,135122.48873948437,309611.67218616605,1190.858,1789390.2,,
riboflavin,Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,376.3639,553.15,1336.98,143595.06849620808,,1674.1941,3526272.1,,-1.46
cyclooctasulfur,S1SSSSSSS1,256.52,761.94,615,45127.08560736005,238005.31143982665,1027.6772,10454958,,
"3,5-dihydroxybenzaldehyde",O=Cc1cc(O)cc(O)c1,138.12074,418.65,,,,,,,
"6,7-dihydro-3-methyl-8(5h)-quinolinone oxime",Cc1cnc2c(c1)CCCC2=NO,176.21508,461.15,705.76,,,939.87125,3364538.3,,
sulfuric acid,O=S(=O)(O)O,98.07848,277.305,610.15,109198.26653104738,637237.2443931699,924,6400000,,
thiamine,Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1,265.35458000000006,521.15,867.56,159624.15270917874,,1103.7575,3403912.3,,
tetracycline,CN(C)[C@@H]1C(=O)C(C(=N)O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,444.43456,438.15,1500.85,125775.54724817078,,1928.0489,3059166.7,,-1.3
trinitrotoluene,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],227.1311,353.2,623.15,100822.82875396631,268814.03411369625,828,3040000,,1.6
toluene,Cc1ccccc1,92.13842,179.2,383.7457531,72065.48582013887,360698.1003747074,591.75,4126300,277.15,2.73
an-648/37428001,Cc1cc(=O)n2[nH]c(CO)nc2n1,180.16402,655.43,731.93,182045.2274544052,,969.69384,5926273.6,,
l-m-tyrosine,N[C@@H](Cc1cccc(O)c1)C(=O)O,181.18854,541.15,730.42,169475.39838888266,,973.84699,4769390.4,,
thebaine,COC1=CC=C2[C@H]3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5,311.37494000000004,466.15,796.05,128953.85865028188,,1026.2093,2092664.9,,
urea,N=C(N)O,60.05526,406.5,626.15,231453.49799501328,562338.5658581216,705,9050000,375.3040935,-2.11
paclitaxel,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](N=C(O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,853.90614,488.65,2092.72,117352.47623351205,,3510.7202,734424.69,,
nitrous oxide,[N-]=[N+]=O,44.0128,182.345,184.6839436,148593.13654209685,374281.07810809993,309.52,7245000,,
nitrobenzene,O=[N+]([O-])c1ccccc1,123.1094,279,483.85,98449.02176438192,359744.5007703005,712,3495713,361.15,1.85
psilocybin,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,284.24814100000003,497.15,796.59,,304756.8151175937,1034.1571,2580415.8,,
"1h-pyrazolo[4,3-d]pyrimidin-7-amine",Nc1ncnc2c[nH]nc12,135.1267,623.42,643.39,225388.46874821925,,936.63278,8072530.1,,
4-formylmorpholine,O=CN1CCOCC1,115.13046,294.65,511.15,,420444.2581450088,779,5080000,,
pyrazole-4-carboxylic acid,O=C(O)c1cn[nH]c1,112.08676,552.65,562.13,231124.5324603905,,810.61071,6751788.7,,
17126-75-9,COc1cccc(N(CCO)CCO)c1,211.25758,429.01,702.16,143346.33578591593,,883.82491,3110566,,
hydrogen cyanide,C#N,27.02534,259.75,298.78,311189.4244438738,996419.9312649296,457,5400000,253.15,-0.25
pentaerythritol tetranitrate,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],316.13662,413.65,543,,212529.2423041024,676,2240000,,
clozapine,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,326.82326,456.65,875.53,144172.72503799148,,1139.0195,2571497.9,,3.23
calcium carbonate,O=C([O-])[O-].[Ca+2],100.0869,1073.15,,359687.4316219205,,,,,
mustard gas,ClCCSCCCl,159.07732,286.65,471.15,117175.7231011938,319422.13071257423,642.25229,3633349.9,378.15,
phosgene,O=C(Cl)Cl,98.9161,155.15,280.65,58028.976071640514,249458.73008089844,455,5674200,,
"2-(2-methoxyphenyl)-5-phenyl-1,3,4-oxadiazole",COc1ccccc1-c1nnc(-c2ccccc2)o1,252.26798,367.15,786.14,143783.60662340105,,1064.2411,3156167.2,,
sucralose,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,397.63346,403.15,1126.05,160906.9820230923,,1401.0496,2899854.4,,
ctk1c9805,COc1cc(C)n(C)c(=O)c1,153.17844,344.54,513.55,96129.71642745544,,727.56185,3399943.9,,
3-amino-2-cyclohexen-1-one,NC1=CC(=O)CCC1,111.14176,401.65,505.59,68381.13774696388,,749.63197,4802499.6,,
5-chloro-2-methyl-4-isothiazolin-3-one,Cn1sc(Cl)cc1=O,149.59866,325.15,382.85,82206.61869564875,325535.94733851217,715.29048,5080245,,
indigo,O=C1/C(=C2\Nc3ccccc3C2=O)Nc2ccccc21,262.2628,663.15,893.68,142116.99104867334,,1183.4417,3585643.1,,3.72
sulfur dioxide,O=S=O,64.0638,200.65,263.1370154,163867.89419297638,389552.7632556405,430.64,7886600,,
agn-pc-000r4u,O=[N+]([O-])c1ccccc1Cc1ccccc1[N+](=O)[O-],258.2295,601.37,864.04,152778.82658642798,,1148.0814,3052409.9,,
2-butynedinitrile,N#CC#CC#N,76.0562,293.65,349.65,161065.10711815735,444637.78201186407,749.37094,4492233.8,,
"n,n-dimethyl-1,3-propanediamine",CN(C)CCCN,102.17806,208.15,402.15,165632.42637411592,416252.20497786434,593.3,3586000,299.15,
1-methyl-4-nitro-1h-imidazole-5-carbonitrile,Cn1cnc([N+](=O)[O-])c1C#N,152.11086,414.65,658.02,173307.80984342605,,915.31527,4553062.3,,
5-cholesten-3-one,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,384.63766,400.15,927.89,79474.79713764897,199509.3118110528,1161.688,1061710.8,,
l-cysteine,N[C@@H](CS)C(=O)O,121.15818,513.15,548.7,159997.45126577505,517038.87987907015,783.04081,6027931,,-2.49
sodium cyanide,[C-]#N.[Na+],49.00717,835.15,1769.15,179361.50975459305,4591415.829094322,2900,23760000,,
(±)-pantothenic acid,CC(C)(CO)C(O)C(O)=NCCC(=O)O,219.23498,456.98,824.65,,,1104.1579,3121001.2,,
retinol,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,286.4516,336.65,794.69,125022.866,264966.87422861875,1002.5647,1511673.7,,5.68
folic acid,N=c1nc(O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,441.39746,523.15,1517.23,194720.19616968345,,1866.8182,3015644.3,,
biotin,O=C(O)CCCC[C@@H]1SC[C@@H]2N=C(O)N[C@@H]21,244.31064,504.15,804.01,193552.7654464824,386349.1659206703,1049.3115,3329682.9,,
citric acid,O=C(O)CC(O)(CC(=O)O)C(=O)O,192.12352,426.15,659,199866.21107087776,511226.5349328186,822,3798000,,-1.64
buckminsterfullerene,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,720.642,2343.7,2058.8,198101.1376,,3046.4364,1514027.5,,
3-hydroxypropionitrile,N#CCCO,71.0779,227.15,491.15,128309.92474454084,793934.4223467979,692.3,4830000,,-0.94
d-sorbitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,182.17176,378.15,704,119294.01132206222,648103.0697489729,868,4640000,,-2.2
perchloric acid,[O-][Cl+3]([O-])([O-])O,100.45854,256.15,385,148449.3005771336,279505.1800520056,631,3860000,,
pentaerythritol,OCC(CO)(CO)CO,136.14638,532.4,631,35256.170601083926,770710.3955573357,780,4780000,523.7684914,-1.69
tetryl,CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],287.1433,404.65,1021.18,192325.5740252341,,828,2610000,,
octogen,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,296.15512,551.15,963.92,197896.2916460806,390683.3042,1030,2500000,,
capsaicin,COc1cc(CN=C(O)CCCC/C=C/C(C)C)ccc1O,305.41188,338.65,853.9,151847.40030414012,,1066.7097,1792421.8,,
2-[(3-methylbutoxy)methyl]oxirane,CC(C)CCOCC1CO1,144.21143999999998,231.66,438.31,140453.48968153985,,620.55751,2847480.9,,
sodium hydroxide,[Na+].[OH-],39.99711,596.15,1661.15,165011.92211137255,5087057.868022766,2820,25000000,,
brn 1645742,O=[N+]([O-])/C=C1\Cc2ccccc2CCN1,204.22518,526.81,709.92,156866.06323470984,,982.67744,3547305.6,,
l-alanyl-l-alanine,C[C@H](N)C(O)=N[C@@H](C)C(=O)O,160.17108000000002,553.15,658.08,164124.5098678238,496127.7244084896,872.77833,4130292.6,,
hydrogen,[HH],2.01588,13.99,20.36890851,59527.35281862015,448710.7507670659,33.145,1296400,,
acridine,c1ccc2nc3ccccc3cc2c1,179.21725999999998,381.65,620.05,124173.30786108438,308977.52750843694,905.15,3600077,,3.4
"4-methylthiomorpholine-1,1-dioxide",CN1CCS(=O)(=O)CC1,149.21134,359.15,,,,,,,
mild aconitate,CCN1CC2(COC)C(O)CC(OC)C34[C@@H]5C[C@]6(O)C(OC)C(O)[C@](OC(C)=O)(C(C(OC)[C@H]23)[C@@H]14)[C@H]5C6OC(=O)c1ccccc1,645.73708,1052.95,1498.67,123717.53531638604,,2027.7595,934057.07,,
ferrocene,[Fe+2].c1cc[cH-]c1.c1cc[cH-]c1,186.0314,445.65,522.15,,,,,,
2-methyl-1-buten-3-yne,C#CC(=C)C,66.10114,160.15,306.15,137531.6673812282,378893.5916387989,492,4380000,219.15,
17-alpha-allyl-19-nortestosterone,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,314.4617,367.15,880.35,79128.87324593106,283682.33842203097,1114.0785,1772853.2,,
taurine,NCCS(=O)(=O)O,125.14688,601.15,,,,,,,
2-deoxy-β-d-erythro-pentofuranose,OC[C@H]1O[C@@H](O)C[C@@H]1O,134.1305,364.15,623.43,186579.4878867968,,796.59529,5765386.8,,
ribose,O=C[C@H](O)[C@H](O)[C@H](O)CO,150.12990000000002,361.15,730.06,111756.55215916348,,900.87462,6588379.2,,-2.32
8007-56-5,Cl.O=[N+]([O-])O,99.47378,231.15,381.15,,425790.8240563968,560.65464,6800547.1,,
"butanoic acid, 4-amino-2-hydroxy-4-oxo-",N=C(O)CC(O)C(=O)O,133.10268,420.65,654.77,177456.9828346056,688714.0187593078,858.01556,5981401.4,,
l-glutamic acid,N[C@@H](CCC(=O)O)C(=O)O,147.12926,485.65,591,208428.96919348327,501556.90395799937,782,4130000,,-3.69
2-cyano-n-(ethylcarbamoyl)acetamide,CCN=C(O)N=C(O)CC#N,155.15456,440.15,647.04,168850.9831744552,484920.89138705935,855.54455,3598560.4,,
"2,2-dimethyl-1-nitrobutane",CCC(C)(C)C[N+](=O)[O-],131.17291999999998,303.41,442.15,116205.38751443516,306523.86060315504,638.11,3217000,,
d-lysine,NCCCC[C@@H](N)C(=O)O,146.18756,497.15,627.01,193655.3288,,838.53743,3990599.7,,
methyl n-(iminomethoxymethyl)carbamate,COC(=N)N=C(O)OC,132.11792,317.65,589.04,,,,,,
d-glutamine,N=C(O)CC[C@@H](N)C(=O)O,146.1445,457.65,658,186931.4274570716,563062.0662927498,879.85854,4931511.2,,
d-arginine,N=C(N)NCCC[C@@H](N)C(=O)O,174.20095999999998,508.15,776.1,,550476.1885445797,1010.1283,3782325.6,,
2-methyl-l-serine,C[C@](N)(CO)C(=O)O,119.11916,441.94,598.11,152200.53600109337,647163.4789614889,801.30258,5527839.6,,
trans-2-amino-5-methyl-4-phenyl-1-pyrroline,C[C@H]1NC(=N)C[C@@H]1c1ccccc1,174.24226000000002,414.89,400.35,140385.0018933409,382431.3721766446,875.63418,3392027.9,,
acetonitrile,CC#N,41.05192,226.65,354.75,198772.67616228425,735567.2654901212,545.5,4850000,275.15,-0.34
potassium nitrate,O=[N+]([O-])[O-].[K+],101.1032,607.15,673.15,94952.48419436772,,,,,
boric acid,OB(O)O,61.83302,444.05,,360648.7278156558,,289.8,4053000,,
borax (b4na2o7.10h2o),O.O.O.O.O.O.O.O.O.O.O=BOB([O-])OB([O-])OB=O.[Na+].[Na+],381.37214,348.15,593.15,,,3030,,,
"4-hydroxy-3,5-dimethyl-1,2,4-triazole",Cc1nnc(C)n1O,113.11788,454.81,510.56,196388.05111976992,,749.13862,6852769.6,,
picric acid,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,229.10392,395.4,909.66,193907.63807096795,,1209.0243,5845000,423.15,1.33
chloride,[Cl-],35.453,520.65,236.33,46117.39486080162,572003.7651332412,397.84705,6818859.1,,
osmium tetroxide,[O].[O].[O].[O].[Os],254.2276,313.75,404.35,56248.81012132436,140866.11412174487,678,5414000,,
(r)-(+)-2-[(1-phenylethyl)amino]ethanol,C[C@@H](NCCO)c1ccccc1,165.2322,327.36,596.99,129278.67570606698,,794.26242,3325843.5,,
635-65-4,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,584.6621399999999,1571.99,1716.66,190020.85546363585,,2221.3791,1105208.8,,
4-vinylphenol,C=Cc1ccc(O)cc1,120.14852,346.4,502,125011.94355119814,408653.6193571456,736,4520000,,
hydrazine,NN,32.04516,275.15,386.7,395067.46104559937,1274284.6770695578,653,14692125,311.15,-2.07
3-(2-nitro-1-propen-1-yl)phenol,CC(=Cc1cccc(O)c1)[N+](=O)[O-],179.17266,370.15,668.7,162653.16371370497,,931.63527,4255158,,
6-azacytidine,N=c1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(O)n1,244.20468,488.15,970.84,191601.56963412825,,1196.5157,6141842.2,,
methyl isocyanate,CN=C=O,57.05132,210.65,311.45,,512181.57027727616,491,5572875,238.15,
tartaric acid,O=C(O)C(O)C(O)C(=O)O,150.08684,442.15,765.62,183440.4668657159,469815.6937,828,5180000,483.15,
sodium chloride,[Cl-].[Na+],58.44277,1077.15,1738.15,481838.8998331188,3339850.380923528,3400,35500000,,
lipoamide,N=C(O)CCCCC1CCSS1,205.3408,401.15,619.98,119416.11214137668,307912.75144354074,859.20705,3468363.7,,
glutathione,N[C@@H](CCC(O)=N[C@@H](CS)C(O)=NCC(=O)O)C(=O)O,307.32348,467.4,1062.01,187200.1449417402,498694.33692778106,1304.7704,3415859.4,,
ac1l3jjh,[CH]1CO1,43.04462,161.43,283.3,153096.94916577262,585985.8992125298,464.24662,6524672.4,,
dl-thioctic acid,O=C(O)CCCCC1CCSS1,206.32556,327.275,435.65,135068.09335692582,188282.7111626235,873.48067,3345107,,
ethylene carbonate,O=C1OCCO1,88.06206,310.9,519.15,,569528.7721,794.82,6141840,,
(s)-3-hydroxy-γ-butyrolactone,O=C1C[C@H](O)CO1,102.08864,255.93,448.26,124480.05968146896,354114.16662368475,830.6,5397000,,
chloroform,ClC(Cl)Cl,119.37764,210.15,334.35,79579.39192,247117.7344211396,536.2,5330000,,1.97
5-nitro-m-xylene,Cc1cc(C)cc([N+](=O)[O-])c1,151.16255999999998,347.15,547.15,139584.82841253813,332834.4796409763,787.7,3313000,,
nonylphenol,CC(C)CC(C)CC(C)c1ccc(O)cc1,220.35046000000003,275.15,568.15,108286.59037063048,282968.5516164794,770,2070000,,
"2-propenoic acid, 2-methyl-, butyl ester, polymer with ethenylmethylbenzene and methyl 2-methyl-2-propenoate",C=C(C)C(=O)OC.C=C(C)C(=O)OCCCC.C=Cc1ccccc1C,360.48708,362.62,843.66,116337.04042874437,,1053.8505,1079221.8,,
5-hydroxydeoxycytidine,N=c1nc(O)n(C2CC(O)C(CO)O2)cc1O,243.21662000000003,738.21,933.13,184469.30148112407,,1162.9495,6075005.7,,
68715-88-8,Nc1cc([N+](=O)[O-])ccc1NC(CO)CO,227.21722000000003,628.82,900.62,170053.13241663636,,1120.79,4403251.5,,
deoxyisoguanosine,Nc1nc(O)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,267.24132,862.31,998.17,201724.0447697235,,1239.8436,5627813.6,,
uridine,O=c1nc(O)ccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,244.20138,438.15,926.02,172701.72674699873,616660.2148169368,1142.5715,5160853.5,,-1.98
3'-deoxyadenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O,251.24192,498.65,934.66,203664.2611,,1169.6156,5438518.6,,
